num,slotList
1,"[{8, 2, 4, 7}, {7}, {1, 2, 4, 7}, {8, 7}, {8, 2, 7}, {7}, {1, 7}, {8, 1, 2, 7}, {8, 7}, {2, 4, 7}, {8, 1, 4, 7}, {2, 7}, {8, 7}, {2, 7}, {1, 7}, {2, 7}]"
2,"[{3, 4, 5, 6, 7, 8}, {3}, {1, 2, 3, 7}, {3, 4, 5}, {2, 3, 6, 7}, {3}, {1, 3, 4, 7}, {3, 5}, {3, 7}, {3}, {1, 2, 3, 4}, {8, 3, 6, 7}, {2, 3, 4, 5}, {3}, {1, 3, 5, 7, 8}, {1, 3}]"
3,"[{3, 4, 5, 6}, {3}, {3}, {3, 4, 5}, {1, 2, 3, 6}, {3}, {3, 4}, {1, 3, 5}, {3, 7}, {1, 3}, {3, 4}, {8, 3, 7}, {1, 2, 3, 4, 5}, {3}, {8, 3, 5, 7}, {3}]"
4,"[{2, 3, 4, 5, 6, 7, 8}, {3, 4}, {3, 4, 6}, {3, 4, 6}, {1, 3, 4, 7}, {3, 4, 6}, {3, 4, 5, 6}, {1, 3, 4}, {3, 4, 6, 7}, {3, 4}, {3, 4}, {3, 4, 5, 6}, {1, 2, 3, 4, 7}, {3, 4}, {3, 4}, {3, 4}]"
5,"[{2, 3, 4, 5, 6, 7, 8}, {3, 4}, {3, 4, 6}, {3, 4, 6}, {1, 3, 4, 7}, {3, 4, 6}, {3, 4, 5, 6}, {1, 3, 4}, {3, 4, 6, 7}, {3, 4}, {3, 4}, {3, 4, 5, 6}, {1, 2, 3, 4, 7}, {3, 4}, {3, 4}, {3, 4}]"
6,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
7,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
8,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
9,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
10,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
11,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
12,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
13,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
14,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
15,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
16,"[set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set(), set()]"
